the,這,a
be,是,v
and,和,c
of,的,i
a,一個,a
in,在,i
to,到,t
have,有,v
to,到,i
it,它,p
I,我,p
that,那,c
for,為了,i
you,你,p
he,他,p
with,和,i
on,在,i
do,做,v
say,說,v
this,這,d
they,他們,p
at,在,i
but,但,c
we,我們,p
his,他的,a
from,從,i
that,那,d
not,不是,x
n't,不,x
by,經過,i
she,她,p
or,或者,c
as,作為,c
what,什麼,d
go,去,v
their,他們的,a
can,能,v
who,世界衛生組織,p
get,得到,v
if,如果,c
would,會,v
her,她,a
all,全部,d
my,我的,a
make,製作,v
about,關於,i
know,知道,v
will,將要,v
as,作為,i
up,向上,r
one,一,m
time,時間,n
there,那裡,e
year,年,n
so,所以,r
think,思考,v
when,什麼時候,c
which,哪個,d
them,他們,p
some,一些,d
me,我,p
people,人們,n
take,拿,v
out,出去,r
into,進入,i
just,只是,r
see,看,v
him,他,p
your,你的,a
come,來,v
could,可以,v
now,現在,r
than,比,c
like,喜歡,i
other,其他,j
how,如何,r
then,然後,r
its,它是,a
our,我們的,a
two,二,m
more,更多的,r
these,這些,d
want,想,v
way,方式,n
look,看,v
first,第一的,m
also,也,r
new,新的,j
because,因為,c
day,天,n
more,更多的,d
use,使用,v
no,不,a
man,男人,n
find,尋找,v
here,這裡,r
thing,事物,n
give,給,v
many,許多,d
well,出色地,r
only,僅有的,r
those,那些,d
tell,告訴,v
one,一,p
very,非常,r
her,她,p
even,甚至,r
back,後退,r
any,任何,d
good,好的,j
woman,女士,n
through,透過,i
us,我們,p
life,生活,n
child,孩子,n
there,那裡,r
work,工作,v
down,向下,r
may,可能,v
after,後,i
should,應該,v
call,稱呼,v
world,世界,n
over,超過,i
school,學校,n
still,仍然,r
try,嘗試,v
in,在,r
as,作為,r
last,最後的,m
ask,問,v
need,需要,v
too,也,r
feel,感覺,v
three,三,m
when,什麼時候,r
state,狀態,n
never,絕不,r
become,變得,v
between,之間,i
high,高的,j
really,真的,r
something,某物,p
most,最多,r
another,其他,d
much,很多,d
family,家庭,n
own,自己的,d
out,出去,i
leave,離開,v
put,放,v
old,老的,j
while,儘管,c
mean,意思是,v
on,在,r
keep,保持,v
student,學生,n
why,為什麼,r
let,讓,v
great,偉大的,j
same,相同的,d
big,大的,j
group,團體,n
begin,開始,v
seem,似乎,v
country,國家,n
help,幫助,v
talk,演講,v
where,在哪裡,c
turn,轉動,v
problem,問題,n
every,每一個,a
start,開始,v
hand,手,n
might,可能,v
American,美國人,j
show,展示,v
part,部分,n
about,關於,r
against,反對,i
place,地方,n
over,超過,r
such,這樣的,d
again,再次,r
few,很少,d
case,案件,n
most,最多,d
week,星期,n
company,公司,n
where,在哪裡,r
system,系統,n
each,每個,d
right,正確的,r
program,程式,n
hear,聽到,v
so,所以,c
question,問題,n
during,期間,i
work,工作,n
play,玩,v
government,政府,n
run,跑步,v
small,小的,j
number,數位,n
off,離開,r
always,總是,r
move,移動,v
like,喜歡,v
night,夜晚,n
live,居住,v
Mr,先生,n
point,觀點,n
believe,相信,v
hold,抓住,v
today,今天,r
bring,帶來,v
happen,發生,v
next,下一個,m
without,沒有,i
before,前,i
large,大的,j
all,全部,r
million,百萬,m
must,必須,v
home,家,n
under,在下面,i
water,水,n
room,房間,n
write,寫,v
mother,母親,n
area,區域,n
national,國家的,j
money,錢,n
story,故事,n
young,年輕的,j
fact,事實,n
month,月,n
different,不同的,j
lot,很多,n
right,正確的,n
study,學習,n
book,書,n
eye,眼睛,n
job,工作,n
word,單字,n
though,儘管,c
business,商業,n
issue,問題,n
side,邊,n
kind,種類,n
four,四,m
head,頭,n
far,遠的,r
black,黑色的,j
long,長的,j
both,兩個都,d
little,小的,j
house,房子,n
yes,是的,u
after,後,c
since,自從,c
long,長的,r
provide,提供,v
service,服務,n
around,大約,i
friend,朋友,n
important,重要的,j
father,父親,n
sit,坐,v
away,離開,r
until,直到,c
power,力量,n
hour,小時,n
game,遊戲,n
often,常,r
yet,然而,r
line,線,n
political,政治的,j
end,結尾,n
among,之中,i
ever,曾經,r
stand,站立,v
bad,壞的,j
lose,失去,v
however,然而,r
member,成員,n
pay,支付,v
law,法律,n
meet,見面,v
car,車,n
city,城市,n
almost,幾乎,r
include,包括,v
continue,繼續,v
set,放,v
later,之後,r
community,社群,n
much,很多,r
name,姓名,n
five,五,m
once,一次,r
white,白色的,j
least,至少,r
president,總統,n
learn,學習,v
real,真實的,j
change,改變,v
team,團隊,n
minute,分分鐘,n
best,最好的,j
several,一些,d
idea,主意,n
kid,孩子,n
body,身體,n
information,資訊,n
nothing,沒有什麼,p
ago,前,r
right,正確的,j
lead,帶領,v
social,社會的,j
understand,理解,v
whether,無論,c
back,後退,n
watch,手錶,v
together,一起,r
follow,跟隨,v
around,大約,r
parent,家長,n
only,僅有的,j
stop,停止,v
face,臉,n
anything,任何事物,p
create,創造,v
public,民眾,j
already,已經,r
speak,說話,v
others,其他的,n
read,讀,v
level,等級,n
allow,允許,v
add,添加,v
office,辦公室,n
spend,花費,v
door,門,n
health,健康,n
person,人,n
art,藝術,n
sure,當然,j
such,這樣的,i
war,戰爭,n
history,歷史,n
party,派對,n
within,之內,i
grow,生長,v
result,結果,n
open,打開,v
change,改變,n
morning,早晨,n
walk,走,v
reason,原因,n
low,低的,j
win,贏,v
research,研究,n
girl,女孩,n
guy,傢伙,n
early,早期的,j
food,食物,n
before,前,c
moment,片刻,n
himself,他自己,p
air,空氣,n
teacher,老師,n
force,力量,n
offer,提供,v
enough,足夠的,r
both,兩個都,r
education,教育,n
across,穿過,i
although,雖然,c
remember,記住,v
foot,腳,n
second,第二,m
boy,男生,n
maybe,或許,r
toward,朝向,i
able,有能力的,j
age,年齡,n
off,離開,i
policy,政策,n
everything,一切,p
love,愛,v
process,過程,n
music,音樂,n
including,包括,i
consider,考慮,v
appear,出現,v
actually,實際上,r
buy,買,v
probably,大概,r
human,人類,j
wait,等待,v
serve,服務,v
market,市場,n
die,死,v
send,傳送,v
expect,預計,v
home,家,r
sense,感覺,n
build,建造,v
stay,停留,v
fall,落下,v
oh,哦,u
nation,國家,n
plan,計劃,n
cut,切,v
college,大學,n
interest,興趣,n
death,死亡,n
course,課程,r
someone,某人,p
experience,經驗,n
behind,在後面,i
reach,抵達,v
local,當地的,j
kill,殺,v
six,六,m
remain,保持,v
effect,影響,n
use,使用,n
yeah,是的,u
suggest,建議,v
class,班級,n
control,控制,n
raise,增加,v
care,關心,n
perhaps,也許,r
little,小的,r
late,晚的,j
hard,難的,j
field,場地,n
else,別的,r
pass,經過,v
former,以前的,d
sell,賣,v
major,主要的,j
sometimes,有時,r
require,要求,v
along,沿著,i
development,發展,n
themselves,他們自己,p
report,報告,v
role,角色,n
better,更好的,j
economic,經濟的,j
effort,努力,n
up,向上,i
decide,決定,v
rate,速度,n
strong,強的,j
possible,可能的,j
heart,心,n
drug,藥物,n
show,展示,n
leader,領導者,n
light,光,n
voice,嗓音,n
wife,妻子,n
whole,所有的,j
police,警察,n
mind,頭腦,n
finally,最後,r
pull,拉,v
return,返回,v
free,自由的,j
military,軍隊,j
price,價格,n
report,報告,n
less,較少的,r
according,根據,i
decision,決定,n
explain,解釋,v
son,兒子,n
hope,希望,v
even,甚至,c
develop,發展,v
view,看法,n
relationship,關係,n
carry,攜帶,v
town,鎮,n
road,路,n
drive,駕駛,v
arm,手臂,n
TRUE,真的,j
federal,聯邦,j
break,休息,v
better,更好的,r
difference,不同之處,n
thank,感謝,v
receive,收到,v
value,價值,n
international,國際的,j
building,大樓,n
action,行動,n
full,滿的,j
model,模型,n
join,加入,v
season,季節,n
society,社會,n
because,因為,i
tax,稅,n
director,導演,n
early,早期的,r
position,位置,n
player,玩家,n
agree,同意,v
especially,尤其,r
record,記錄,n
pick,挑選,v
wear,穿,v
paper,紙,n
special,特別的,j
space,空間,n
ground,地面,n
form,形式,n
support,支援,v
event,事件,n
official,官方的,n
whose,誰,d
matter,事,n
everyone,每個人,p
center,中心,n
couple,夫妻,n
site,地點,n
end,結尾,v
project,專案,n
hit,打,v
base,根據,v
activity,活動,n
star,星星,n
table,桌子,n
need,需要,n
court,法庭,n
produce,生產,v
eat,吃,v
American,美國人,n
teach,教,v
oil,油,n
half,一半,d
situation,情況,n
easy,簡單的,j
cost,成本,n
industry,產業,n
figure,數位,n
face,臉,v
street,街道,n
image,影像,n
itself,本身,p
phone,電話,n
either,任何一個,r
data,數據,n
cover,覆蓋,v
quite,相當,r
picture,圖片,n
clear,清除,j
practice,實踐,n
piece,片,n
land,土地,n
recent,最近的,j
describe,描述,v
product,產品,n
doctor,醫生,n
wall,牆,n
patient,病人,n
worker,勞工,n
news,訊息,n
test,測試,n
movie,電影,n
certain,肯定,j
north,北,n
love,愛,n
personal,個人的,j
open,打開,j
support,支援,n
simply,簡單地,r
third,第三,m
technology,科技,n
catch,抓住,v
step,步,n
baby,嬰兒,n
computer,電腦,n
type,類型,n
attention,注意力,n
draw,畫,v
film,電影,n
Republican,共和黨,n
tree,樹,n
source,來源,n
red,紅色的,j
nearly,幾乎,r
organization,組織,n
choose,選擇,v
cause,原因,v
hair,頭髮,n
look,看,n
point,觀點,v
century,世紀,n
evidence,證據,n
window,窗戶,n
difficult,難的,j
listen,聽,v
soon,很快,r
culture,文化,n
billion,十億,m
chance,機會,n
brother,兄弟,n
energy,活力,n
period,時期,n
course,課程,n
summer,夏天,n
less,較少的,d
realize,意識到,v
hundred,百,m
available,可用的,j
plant,植物,n
likely,可能,j
opportunity,機會,n
term,學期,n
short,短的,j
letter,信,n
condition,狀態,n
